Jogador;Clube;Clube.1;Quantia paga;Unnamed: 4;CONTEXTO_ORIGEM
Silva;;Desconhecido;-;;Saídas 76/77
Zé Roberto;;Fim de carreira;-;;Saídas 76/77
0;0.0;0;0;0.0;Saídas 76/77
Bezerra;;Guarani;?;;Entradas 75/76
Mickey;;Bahia;?;;Entradas 75/76
Zé Sérgio;;São Paulo U20;-;;Entradas 75/76
Everaldo;;Atlético-PR;Fim do empréstimo;;Entradas 75/76
Tecao;;Desconhecido;-;;Entradas 75/76
Piau;;Corinthians;Fim do empréstimo;;Entradas 75/76
Teodoro;;Santos;Fim do empréstimo;;Entradas 75/76
Everaldo;;Comercial-MS;Fim do empréstimo;;Entradas 75/76
0;0.0;0;0;0.0;Entradas 75/76
Samuel;;Palmeiras;?;;Saídas 75/76
Pablo Forlán;;Peñarol;?;;Saídas 75/76
Mário;;Fim de carreira;-;;Saídas 75/76
Viana;;Botafogo-PB;Empréstimo;;Saídas 75/76
Everaldo;;Comercial-MS;Empréstimo;;Saídas 75/76
Piau;;Corinthians;Empréstimo;;Saídas 75/76
0;0.0;0;0;0.0;Saídas 75/76
Viana;;Desconhecido;-;;Entradas 74/75
0;0.0;0;0;0.0;Entradas 74/75
Sérgio;;Corinthians;?;;Saídas 74/75
Getúlio;;XV Piracicaba;?;;Saídas 74/75
Jésum;;Cruzeiro;?;;Saídas 74/75
Teodoro;;Santos;Empréstimo;;Saídas 74/75
Everaldo;;Atlético-PR;Empréstimo;;Saídas 74/75
0;0.0;0;0;0.0;Saídas 74/75
Serginho Chulapa;;Marília;?;;Entradas 73/74
Ademir;;Ferroviária;?;;Entradas 73/74
Getúlio;;Comercial-SP;?;;Entradas 73/74
Valdir Peres;;Ponte Preta;?;;Entradas 73/74
Chicao;;Ponte Preta;?;;Entradas 73/74
Mirandinha;;Corinthians;?;;Entradas 73/74
Everaldo;;Bahia;Fim do empréstimo;;Entradas 73/74
Toninho Guerreiro;;Flamengo;Fim do empréstimo;;Entradas 73/74
0;0.0;0;0;0.0;Entradas 73/74
Paulo Nani;;Fluminense;?;;Saídas 73/74
Toninho Guerreiro;;Operário-MS;?;;Saídas 73/74
Paraná;;Tiradentes-CE;?;;Saídas 73/74
Toninho Guerreiro;;Flamengo;Empréstimo;;Saídas 73/74
Edson Cegonha;;Palmeiras;?;;Saídas 73/74
Roberto Dias;;Desconhecido;-;;Saídas 73/74
0;0.0;0;0;0.0;Saídas 73/74
Piau;;Portuguesa;?;;Entradas 72/73
Paranhos;;CSA;?;;Entradas 72/73
Jésum;;Villa Nova;?;;Entradas 72/73
Silva;;Desconhecido;-;;Entradas 72/73
Muricy Ramalho;;São Paulo U20;-;;Entradas 72/73
0;0.0;0;0;0.0;Entradas 72/73
Vanderlei;;América-RJ;?;;Saídas 72/73
Wilton;;Fluminense;Fim do empréstimo;;Saídas 72/73
0;0.0;0;0;0.0;Saídas 72/73
Teodoro;;Ponte Preta;?;;Entradas 71/72
Nelsinho Baptista;;Ponte Preta;?;;Entradas 71/72
Samuel;;Ponte Preta;?;;Entradas 71/72
Mário;;Desconhecido;-;;Entradas 71/72
Zé Roberto;;Desconhecido;-;;Entradas 71/72
Wilton;;Fluminense;Empréstimo;;Entradas 71/72
Ze Roberto;;Coritiba;Fim do empréstimo;;Entradas 71/72
Zé Carlos;;XV Piracicaba;Fim do empréstimo;;Entradas 71/72
0;0.0;0;0;0.0;Entradas 71/72
Picasso;;Atlético-PR;?;;Saídas 71/72
Gérson;;Fluminense;?;;Saídas 71/72
Ze Roberto;;Coritiba;?;;Saídas 71/72
Jurandir;;Marília;?;;Saídas 71/72
Eduardo;;Náutico;?;;Saídas 71/72
Cláudio Deodato;;Atlético-PR;?;;Saídas 71/72
Bené;;Fim de carreira;-;;Saídas 71/72
0;0.0;0;0;0.0;Saídas 71/72
Vanderlei;;Atlético-PR;?;;Entradas 70/71
Pedro Rocha;;Peñarol;?;;Entradas 70/71
Arlindo;;Náutico;Fim do empréstimo;;Entradas 70/71
Everaldo;;Barcelona SC;Fim do empréstimo;;Entradas 70/71
Picasso;;Bahia;Fim do empréstimo;;Entradas 70/71
Miruca;;Noroeste;Fim do empréstimo;;Entradas 70/71
0;0.0;0;0;0.0;Entradas 70/71
Ze Roberto;;Coritiba;Empréstimo;;Saídas 70/71
Babá;;Guarani;?;;Saídas 70/71
Miruca;;Santa Cruz;?;;Saídas 70/71
Picasso;;Bahia;Empréstimo;;Saídas 70/71
Miruca;;Noroeste;Empréstimo;;Saídas 70/71
Zé Carlos;;XV Piracicaba;Empréstimo;;Saídas 70/71
Everaldo;;Barcelona SC;Empréstimo;;Saídas 70/71
0;0.0;0;0;0.0;Saídas 70/71
Pablo Forlán;;Peñarol;?;;Entradas 69/70
Toninho Guerreiro;;Santos;?;;Entradas 69/70
Gérson;;Botafogo;?;;Entradas 69/70
Gilberto Sorriso;;Desconhecido;-;;Entradas 69/70
Everaldo;;Desconhecido;-;;Entradas 69/70
Paulo Nani;;Desconhecido;-;;Entradas 69/70
0;0.0;0;0;0.0;Entradas 69/70
Edílson;;Bangu;?;;Saídas 69/70
Nelsinho;;Atlético-PR;?;;Saídas 69/70
Arlindo;;Náutico;Empréstimo;;Saídas 69/70
Tadeu;;Fim de carreira;-;;Saídas 69/70
0;0.0;0;0;0.0;Saídas 69/70
Edson Cegonha;;Corinthians;?;;Entradas 68/69
Eduardo;;Cruzeiro;?;;Entradas 68/69
Dé;;Port. Santista;?;;Entradas 68/69
Miruca;;Náutico;?;;Entradas 68/69
Zé Carlos;;Desconhecido;-;;Entradas 68/69
Tadeu;;São Paulo U20;-;;Entradas 68/69
Bené;;XV Piracicaba;Fim do empréstimo;;Entradas 68/69
Sérgio;;Paulista FC;Fim do empréstimo;;Entradas 68/69
Ze Roberto;;Atlético-PR;Fim do empréstimo;;Entradas 68/69
0;0.0;0;0;0.0;Entradas 68/69
José Luiz Carbone;;Internacional;?;;Saídas 68/69
Dé;;Palmeiras;?;;Saídas 68/69
Fefeu;;Bangu;?;;Saídas 68/69
Almir da Silva;;Fim de carreira;-;;Saídas 68/69
Bené;;Paulista FC;Empréstimo;;Saídas 68/69
Bené;;XV Piracicaba;Empréstimo;;Saídas 68/69
Sérgio;;Paulista FC;Empréstimo;;Saídas 68/69
0;0.0;0;0;0.0;Saídas 68/69
Terto;;Santa Cruz;?;;Entradas 67/68
Pedro Prospitti;;Quilmes;?;;Entradas 67/68
Arlindo;;Desconhecido;-;;Entradas 67/68
Sérgio;;Taubaté;Fim do empréstimo;;Entradas 67/68
Ismael;;Sem clube;-;;Entradas 67/68
Ze Roberto;;Guarani;Fim do empréstimo;;Entradas 67/68
0;0.0;0;0;0.0;Entradas 67/68
Pedro Prospitti;;Indep. Santa Fe;?;;Saídas 67/68
Ze Roberto;;Atlético-PR;Empréstimo;;Saídas 67/68
Hilderaldo Bellini;;Atlético-PR;?;;Saídas 67/68
Suly;;Botafogo-SP;?;;Saídas 67/68
Ismael;;Sem clube;-;;Saídas 67/68
Sérgio;;Taubaté;Empréstimo;;Saídas 67/68
0;0.0;0;0;0.0;Saídas 67/68
Picasso;;Juventus-SP;?;;Entradas 66/67
Almir da Silva;;Portuguesa;?;;Entradas 66/67
Edílson;;Portuguesa;?;;Entradas 66/67
Nelsinho;;Guarani;?;;Entradas 66/67
Sérgio;;São José-SP;?;;Entradas 66/67
Didi;;Tiburones Rojos;?;;Entradas 66/67
Adevaldo;;Botafogo;Fim do empréstimo;;Entradas 66/67
José Luiz Carbone;;Ponte Preta;Fim do empréstimo;;Entradas 66/67
0;0.0;0;0;0.0;Entradas 66/67
Airton;;Botafogo;?;;Saídas 66/67
Ze Roberto;;Guarani;Empréstimo;;Saídas 66/67
Prado;;Corinthians;?;;Saídas 66/67
Didi;;Fim de carreira;-;;Saídas 66/67
Fábio;;Desconhecido;-;;Saídas 66/67
Adevaldo;;Botafogo;Fim do empréstimo;;Saídas 66/67
0;0.0;0;0;0.0;Saídas 66/67
Fefeu;;Flamengo;?;;Entradas 65/66
Fábio;;Cruzeiro;?;;Entradas 65/66
Babá;;Guarani;?;;Entradas 65/66
Airton;;Flamengo;?;;Entradas 65/66
Cláudio Deodato;;São Paulo U20;-;;Entradas 65/66
Raul Plassmann;;Nacional;Fim do empréstimo;;Entradas 65/66
0;0.0;0;0;0.0;Entradas 65/66
Raul Plassmann;;Cruzeiro;?;;Saídas 65/66
Paulo Valentim;;Atlante;?;;Saídas 65/66
Raul Plassmann;;Nacional;Empréstimo;;Saídas 65/66
Emanuele Del Vecchio;;Santos;?;;Saídas 65/66
Marco Antônio;;Cruzeiro;?;;Saídas 65/66
José Luiz Carbone;;Ponte Preta;Empréstimo;;Saídas 65/66
Pagão;;Desconhecido;-;;Saídas 65/66
Nílton de Sordí;;Bandeirante FC;-;;Saídas 65/66
0;0.0;0;0;0.0;Saídas 65/66
Raul Plassmann;;Coritiba;?;;Entradas 64/65
Paraná;;São Bento;?;;Entradas 64/65
Paulo Valentim;;Boca Juniors;?;;Entradas 64/65
Marco Antônio;;Comercial-SP;?;;Entradas 64/65
0;0.0;0;0;0.0;Entradas 64/65
Jonas Bento;;Desconhecido;?;;Saídas 64/65
0;0.0;0;0;0.0;Saídas 64/65
Emanuele Del Vecchio;;Boca Juniors;?;;Entradas 63/64
Pagão;;Santos;?;;Entradas 63/64
Ze Roberto;;São Paulo U20;-;;Entradas 63/64
0;0.0;0;0;0.0;Entradas 63/64
Sérgio Lopes;;Grêmio;?;;Saídas 63/64
Canhoteiro;;Desconhecido;?;;Saídas 63/64
0;0.0;0;0;0.0;Saídas 63/64
José Luiz Carbone;;São Paulo U17;-;;Entradas 62/63
0;0.0;0;0;0.0;Entradas 62/63
Gino Orlando;;Portuguesa;?;;Saídas 62/63
Jair;;Ponte Preta;?;;Saídas 62/63
0;0.0;0;0;0.0;Saídas 62/63
Sérgio Lopes;;Internacional;?;;Entradas 61/62
Jurandir;;AA São Bento;?;;Entradas 61/62
Hilderaldo Bellini;;Vasco da Gama;?;;Entradas 61/62
Jair;;Santos;?;;Entradas 61/62
Procópio Cardoso;;Cruzeiro;?;;Entradas 61/62
Prado;;Bragantino;?;;Entradas 61/62
0;0.0;0;0;0.0;Entradas 61/62
Djalma;;Sport;?;;Saídas 61/62
Victor Ratautas;;Desconhecido;?;;Saídas 61/62
Procópio Cardoso;;Atlético-MG;?;;Saídas 61/62
Albertino;;Desconhecido;-;;Saídas 61/62
0;0.0;0;0;0.0;Saídas 61/62
Djalma;;Sport;?;;Entradas 60/61
Suly;;Grêmio;?;;Entradas 60/61
Bené;;Guarani;?;;Entradas 60/61
0;0.0;0;0;0.0;Entradas 60/61
Roberto Frojuello;;River Plate;?;;Saídas 60/61
Sérgio Lopes;;Internacional;?;;Saídas 60/61
Dino Sani;;Boca Juniors;?;;Saídas 60/61
Peixinho;;Ferroviária;?;;Saídas 60/61
Servílio;;Fim de carreira;-;;Saídas 60/61
Cláudio;;Fim de carreira;-;;Saídas 60/61
0;0.0;0;0;0.0;Saídas 60/61
Jonas Bento;;Desconhecido;?;;Entradas 59/60
Servílio;;Santa Cruz;?;;Entradas 59/60
Albertino;;Vitória;?;;Entradas 59/60
0;0.0;0;0;0.0;Entradas 59/60
Paulo Martorano;;Comercial-SP;?;;Saídas 59/60
Mauro Ramos;;Santos;?;;Saídas 59/60
0;0.0;0;0;0.0;Saídas 59/60
Roberto Frojuello;;Guarani;?;;Entradas 58/59
Roberto Dias;;São Paulo U17;-;;Entradas 58/59
Peixinho;;São Paulo For.;-;;Entradas 58/59
Cláudio;;Pausa;-;;Entradas 58/59
0;0.0;0;0;0.0;Entradas 58/59
Maurinho;;Fluminense;?;;Saídas 58/59
Lanzoninho;;Juventus-SP;?;;Saídas 58/59
Turcão;;Desconhecido;?;;Saídas 58/59
Sarará;;América-MG;?;;Saídas 58/59
Waldemar Chiarelli;;Náutico;?;;Saídas 58/59
Zizinho;;Sem clube;-;;Saídas 58/59
0;0.0;0;0;0.0;Saídas 58/59
Sarará;;Botafogo-SP;?;;Entradas 57/58
Lanzoninho;;Coritiba;?;;Entradas 57/58
Zizinho;;Bangu;?;;Entradas 57/58
Silva Batuta;;São Paulo U20;-;;Entradas 57/58
0;0.0;0;0;0.0;Entradas 57/58
Silva Batuta;;Batatais;?;;Saídas 57/58
0;0.0;0;0;0.0;Saídas 57/58
Waldemar Chiarelli;;Desconhecido;?;;Entradas 56/57
Sérgio Lopes;;Desconhecido;?;;Entradas 56/57
Paulo Martorano;;Guarani;?;;Entradas 56/57
0;0.0;0;0;0.0;Entradas 56/57
Zezinho;;Portuguesa;?;;Saídas 56/57
Roberto Frojuello;;Guarani;?;;Saídas 56/57
Sarará;;Botafogo-SP;?;;Saídas 56/57
Lanzoninho;;Santa Cruz;?;;Saídas 56/57
Alfredo Ramos;;Corinthians;?;;Saídas 56/57
Bauer;;Botafogo;?;;Saídas 56/57
0;0.0;0;0;0.0;Saídas 56/57
Roberto Frojuello;;Desconhecido;?;;Entradas 55/56
Sarará;;Grêmio;?;;Entradas 55/56
0;0.0;0;0;0.0;Entradas 55/56
Geraldo Scotto;;Santos;?;;Saídas 55/56
Teixerinha;;Port. Santista;?;;Saídas 55/56
0;0.0;0;0;0.0;Saídas 55/56
Geraldo Scotto;;XV Piracicaba;?;;Entradas 54/55
Zezinho;;Flamengo;?;;Entradas 54/55
Canhoteiro;;Paysandu;?;;Entradas 54/55
Lanzoninho;;Port. Santista;?;;Entradas 54/55
Victor Ratautas;;Juventus-SP;?;;Entradas 54/55
0;0.0;0;0;0.0;Entradas 54/55
Gustavo Albella;;Banfield;?;;Saídas 54/55
0;0.0;0;0;0.0;Saídas 54/55
Lanzoninho;;Ponte Preta;?;;Entradas 53/54
Dino Sani;;Com. Sao Paulo;-;;Entradas 53/54
0;0.0;0;0;0.0;Entradas 53/54
Lanzoninho;;Noroeste;?;;Saídas 53/54
Nicolás Moreno;;Banfield;?;;Saídas 53/54
0;0.0;0;0;0.0;Saídas 53/54
Gino Orlando;;Com. Sao Paulo;?;;Entradas 52/53
Nicolás Moreno;;Banfield;?;;Entradas 52/53
0;0.0;0;0;0.0;Entradas 52/53
Rui Campos;;Palmeiras;?;;Saídas 52/53
0;0.0;0;0;0.0;Saídas 52/53
Nílton de Sordí;;XV Piracicaba;?;;Entradas 51/52
Maurinho;;Guarani;?;;Entradas 51/52
Gustavo Albella;;Banfield;?;;Entradas 51/52
Turcão;;Guarani;?;;Entradas 51/52
Rui Campos;;Bangu;Fim do empréstimo;;Entradas 51/52
0;0.0;0;0;0.0;Entradas 51/52
Noronha;;Portuguesa;?;;Saídas 51/52
Dido;;Guarani;?;;Saídas 51/52
Rui Campos;;Bangu;Empréstimo;;Saídas 51/52
0;0.0;0;0;0.0;Saídas 51/52
Friaça;;Vasco da Gama;?;;Saídas 50/51
Ponce de León;;Palmeiras;?;;Saídas 50/51
Léônidas;;Fim de carreira;-;;Saídas 50/51
0;0.0;0;0;0.0;Saídas 50/51
Alfredo Ramos;;Santos;?;;Entradas 49/50
Dido;;Batatais;?;;Entradas 49/50
0;0.0;0;0;0.0;Entradas 49/50
Friaça;;Vasco da Gama;?;;Entradas 48/49
0;0.0;0;0;0.0;Entradas 48/49
Ponce de León;;Botafogo;?;;Entradas 47/48
Mauro Ramos;;Desconhecido;-;;Entradas 47/48
0;0.0;0;0;0.0;Entradas 47/48
Marcial Barrios;;Olimpia;?;;Saídas 47/48
Yeso Amalfi;;Boca Juniors;?;;Saídas 47/48
Piolim;;Fim de carreira;-;;Saídas 47/48
Luisinho;;Fim de carreira;-;;Saídas 47/48
0;0.0;0;0;0.0;Saídas 47/48
Antonio Sastre;;Gimnasia;?;;Saídas 46/47
0;0.0;0;0;0.0;Saídas 46/47
Alberto Zarzur;;Fim de carreira;?;;Saídas 45/46
0;0.0;0;0;0.0;Saídas 45/46
Bauer;;São Paulo U20;-;;Entradas 44/45
0;0.0;0;0;0.0;Entradas 44/45
Tim;;Botafogo;?;;Saídas 44/45
Zezé Procópio;;Palmeiras;?;;Saídas 44/45
Florindo;;Fim de carreira;-;;Saídas 44/45
0;0.0;0;0;0.0;Saídas 44/45
Marcial Barrios;;Boca Juniors;?;;Entradas 43/44
Tim;;Fluminense;?;;Entradas 43/44
Rui Campos;;Fluminense;?;;Entradas 43/44
Yeso Amalfi;;São Paulo U20;-;;Entradas 43/44
0;0.0;0;0;0.0;Entradas 43/44
Waldemar de Brito;;Fluminense;?;;Saídas 43/44
0;0.0;0;0;0.0;Saídas 43/44
Zezé Procópio;;Palmeiras;?;;Entradas 42/43
Antonio Sastre;;Independiente;?;;Entradas 42/43
Noronha;;Vasco da Gama;?;;Entradas 42/43
Alberto Zarzur;;Vasco da Gama;?;;Entradas 42/43
Florindo;;Vasco da Gama;?;;Entradas 42/43
0;0.0;0;0;0.0;Entradas 42/43
Léônidas;;Flamengo;?;;Entradas 41/42
Hortêncio;;Flamengo;?;;Entradas 41/42
Luisinho;;Palmeiras;?;;Entradas 41/42
Piolim;;Desconhecido;-;;Entradas 41/42
0;0.0;0;0;0.0;Entradas 41/42
Hortêncio;;Ypiranga-SP;?;;Saídas 41/42
0;0.0;0;0;0.0;Saídas 41/42
Waldemar de Brito;;San Lorenzo;?;;Entradas 40/41
0;0.0;0;0;0.0;Entradas 40/41
Roberto Gomes Pedrosa;;Fim de carreira;-;;Saídas 40/41
Armandinho;;Fim de carreira;-;;Saídas 40/41
0;0.0;0;0;0.0;Saídas 40/41
Teixerinha;;Desconhecido;?;;Entradas 38/39
Armandinho;;Desconhecido;-;;Entradas 38/39
0;0.0;0;0;0.0;Entradas 38/39
Pedro Sernagiotto;;Port. Santista;?;;Saídas 38/39
Araken;;Fim de carreira;-;;Saídas 38/39
0;0.0;0;0;0.0;Saídas 38/39
Araken;;Desconhecido;?;;Entradas 37/38
Roberto Gomes Pedrosa;;Desconhecido;?;;Entradas 37/38
0;0.0;0;0;0.0;Entradas 37/38
Piolim;;Desconhecido;-;;Saídas 37/38
0;0.0;0;0;0.0;Saídas 37/38
Piolim;;Desconhecido;-;;Entradas 36/37
0;0.0;0;0;0.0;Entradas 36/37
Pedro Sernagiotto;;Palmeiras;?;;Entradas 35/36
0;0.0;0;0;0.0;Entradas 35/36
Jurandir;;Palmeiras;?;;Saídas 35/36
0;0.0;0;0;0.0;Saídas 35/36
Arthur Friedenreich;;Flamengo;?;;Saídas 34/35
Alberto Zarzur;;San Lorenzo;?;;Saídas 34/35
Barthô;;Fim de carreira;?;;Saídas 34/35
Armandinho;;Botafogo;?;;Saídas 34/35
Hércules;;Fluminense;?;;Saídas 34/35
Araken;;Santos;?;;Saídas 34/35
Sylvio Hoffmann;;Botafogo;?;;Saídas 34/35
Waldemar de Brito;;Botafogo;?;;Saídas 34/35
Luisinho;;Desconhecido;-;;Saídas 34/35
Argemiro;;Desconhecido;-;;Saídas 34/35
0;0.0;0;0;0.0;Saídas 34/35
Arthur Friedenreich;;Atlético-MG;?;;Entradas 33/34
Argemiro;;Rio Preto;?;;Entradas 33/34
Jurandir;;Fluminense;?;;Entradas 33/34
Sylvio Hoffmann;;Peñarol;?;;Entradas 33/34
0;0.0;0;0;0.0;Entradas 33/34
Clodô;;Fim de carreira;?;;Saídas 33/34
0;0.0;0;0;0.0;Saídas 33/34
Hércules;;Juventus-SP;?;;Entradas 32/33
Waldemar de Brito;;Desconhecido;-;;Entradas 32/33
0;0.0;0;0;0.0;Entradas 32/33
Arthur Friedenreich;;Atlético-MG;?;;Saídas 32/33
0;0.0;0;0;0.0;Saídas 32/33
Alberto Zarzur;;Desconhecido;?;;Entradas 31/32
0;0.0;0;0;0.0;Entradas 31/32
Araken;;Flamengo;?;;Entradas 30/31
Armandinho;;Desconhecido;-;;Entradas 30/31
0;0.0;0;0;0.0;Entradas 30/31
Araken;;Flamengo;?;;Saídas 30/31
Francisco Abatte;;Desconhecido;-;;Saídas 30/31
0;0.0;0;0;0.0;Saídas 30/31
Arthur Friedenreich;;Paulistano-SP;?;;Entradas 1929/30
Araken;;Santos;?;;Entradas 1929/30
Luisinho;;Paulistano-SP;?;;Entradas 1929/30
Clodô;;Paulistano-SP;?;;Entradas 1929/30
Mário Seixas;;Desconhecido;?;;Entradas 1929/30
Barthô;;Paulistano-SP;?;;Entradas 1929/30
Francisco Abatte;;Desconhecido;-;;Entradas 1929/30
0;0.0;0;0;0.0;Entradas 1929/30
Mário Seixas;;Santos;?;;Saídas 1929/30
0;0.0;0;0;0.0;Saídas 1929/30
